,location,time,sallary,name,duty
8259,异地招聘,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8260,珠海,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8261,郑州,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8262,异地招聘,3月12日,6-8万/月,大千生态环境集团股份有限公司,精品民宿总经理
8263,深圳-福田区,3月12日,80-100万/年,深圳市勤诚达集团有限公司,商业中心总经理/商业总经理
8264,异地招聘,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8265,西安,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8266,合肥,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8267,深圳-福田区,3月12日,6-10万/月,深圳市勤诚达集团有限公司,风险管控中心总经理
8268,异地招聘,3月12日,80-100万/年,乐山万达广场投资有限公司,开发副总经理
8269,异地招聘,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8270,异地招聘,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8271,武汉,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8272,广东省,3月12日,80-120万/年,广州红灰精神人力资源服务有限公司,投资副总监
8273,北京,3月12日,100万以上/年,南京广深信息科技有限公司,总经理（某高科技公司）
8274,异地招聘,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8275,异地招聘,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8276,厦门,3月12日,5-7万/月,厦门海韵华艺文化传媒有限公司,厦门诺亚金樽日结1000以上
8277,济南,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8278,昆明,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8279,天津,3月12日,100万以上/年,上海丁博士网络科技有限公司,城市合伙人
8280,异地招聘,3月12日,10万以上/月,岭南生态文旅股份有限公司,副总裁-营销
8281,广东省,3月12日,200-300万/年,广州红灰精神人力资源服务有限公司,片区总经理
8282,威海,3月12日,200-300万/年,三角轮胎股份有限公司,全球化员工素质培养执行官
8283,深圳-龙岗区,3月12日,60-80万/年,星河控股集团有限公司,区域财务总监
8284,深圳-龙岗区,3月12日,60-80万/年,星河控股集团有限公司,工程总监/副总监
