,sallary,location,duty,name,time
14364,5-7万/月,异地招聘,中医针灸推拿,如东丰利惠慈医院,2月6日
14365,80-100万/年,深圳,产品总监,深圳市中合银金融控股有限公司,2月6日
14366,80-100万/年,深圳,产品总监,深圳市中合银金融控股有限公司,2月6日
14367,80-100万/年,深圳,产品总监,深圳市中合银金融控股有限公司,2月6日
14368,80-100万/年,深圳,产品总监,深圳市中合银金融控股有限公司,2月6日
14369,5-10万/月,北京,大数据总监,北京缘聘信息技术有限责任公司,2月6日
14370,100万以上/年,岳阳,影视城（汉唐）策划运营总监（湖南汨罗）,金诚集团,2月6日
14371,60-80万/年,西安,土地拓展总监,西安康派房地产开发有限公司,2月6日
14372,7-10万/月,南充,三区六县电商平台运营经理,南充同城快递服务有限公司,2月6日
14373,7-10万/月,泉州,信贷客户经理,阳光财产保险股份有限公司福州中心...,2月6日
14374,7-10万/月,广州-番禺区,高薪急聘 时尚女装纸样师打版师,广州市景博服饰有限公司,2月6日
14375,10-30万/月,北京-海淀区,高薪诚聘分院美女主播+20年龙头企业,北京科发源医院管理有限公司,2月6日
14376,9.9-48.8万/月,镇江,配套报建经理（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14377,9.9-48.8万/月,镇江,商业销售经理（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14378,9.9-48.8万/月,镇江,财务出纳（镇江公司岗位）,无锡协信远信房地产开发有限公司,2月6日
14379,9.9-48.8万/月,镇江,安装造价经理(镇江公司岗位),无锡协信远信房地产开发有限公司,2月6日
